Wall Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Assembly Code,Assembly Description,Base Constraint,Family and Type,Length,Structural Material,Top Constraint,Type,Width
862 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",15' - 1 5/16",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
852 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",14' - 2 13/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
1376 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 9",23' - 2 9/32",Clad - White,Up to level: Level 5,EXT W - 9",0' - 9"
1397 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",23' - 0 3/8",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
282 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",5' - 7 3/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
589 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",10' - 1 29/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
390 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",6' - 8 29/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
1060 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",17' - 8",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
119 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 4",2' - 1 3/4",Clad - White,Up to level: Level 5,EXT W - 4",0' - 4"
60 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 4",1' - 2",Clad - White,Up to level: Level 5,EXT W - 4",0' - 4"
270 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",4' - 10",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
1241 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",22' - 2",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
113 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",2' - 4 5/8",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
705 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",12' - 3 1/32",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
105 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",2' - 1 1/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
140 SF,B2020200,Curtain Walls,Level 4,Curtain Wall: Storefront,9' - 4",,Up to level: Level 5,Storefront,
390 SF,B2020200,Curtain Walls,Ground Level,Curtain Wall: Storefront,6' - 6",,Up to level: Level 5,Storefront,
94 SF,B2020200,Curtain Walls,Level 4,Curtain Wall: Storefront,6' - 6 9/32",,Up to level: Level 5,Storefront,
85 SF,B2020200,Curtain Walls,Level 4,Curtain Wall: Storefront,5' - 8",,Up to level: Level 5,Storefront,
266 SF,B2020200,Curtain Walls,Level 4,Curtain Wall: Storefront,17' - 11 5/8",,Up to level: Level 5,Storefront,
346 SF,B2020200,Curtain Walls,Level 4,Curtain Wall: Storefront 2,23' - 3 13/32",,Up to level: Level 5,Storefront 2,
1067 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",17' - 6 3/8",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
598 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",10' - 6 9/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
940 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 4",15' - 8",Clad - White,Up to level: Level 5,EXT W - 4",0' - 4"
1055 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",17' - 10 1/16",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
1546 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",26' - 0 1/4",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
673 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",11' - 5 9/16",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
697 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",11' - 8 1/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
102 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",1' - 11 13/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
899 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",14' - 7 23/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
1416 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",23' - 10 1/8",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
213 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1'4",3' - 3 5/8",Clad - White,Up to level: Level 5,EXT W - 1'4",1' - 4"
976 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",16' - 11 9/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
514 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",8' - 6 13/16",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
268 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 4",4' - 7 17/32",Clad - White,Up to level: Level 5,EXT W - 4",0' - 4"
169 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 2",2' - 11 27/32",Clad - White,Up to level: Level 5,EXT W - 2",0' - 2"
268 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 2",4' - 5 17/32",Clad - White,Up to level: Level 5,EXT W - 2",0' - 2"
174 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",2' - 7 7/8",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
1502 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",25' - 6 15/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
1080 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",18' - 2 29/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
2186 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",36' - 5 3/16",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
1269 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",21' - 4 27/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
911 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",15' - 2 5/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
1577 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",26' - 3 13/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
